epoch,avg_loss
0,-0.657449873479513
1,-0.7680522989004086
2,-0.8171284534992316
3,-0.8452649963207733
4,-0.8612986720525302
5,-0.8703009321139409
6,-0.8763244873438126
7,-0.8803108469033852
8,-0.8831859808701735
9,-0.8853577714699965
10,-0.8875735331804324
11,-0.8884334136278201
12,-0.8891728230011768
13,-0.8914264633105351
14,-0.8925471804080866
15,-0.8935598177787585
16,-0.8944994183687064
17,-0.8948454838532668
18,-0.8966652011260008
19,-0.8974262555440267
